model,training_pool,reference,program,omitted_id,response_attribution_gap,retains_full_sign
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013400,0.013149964007786341,True
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013410,0.04057013484410821,True
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013411,0.016546098480084065,True
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013412,0.025961300304585933,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013398,0.7060015643886819,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013399,0.7197034759070634,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013400,0.8800361560417476,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013410,0.7352543815155125,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013411,0.7682974763732684,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013412,0.8021893384487121,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013395,0.2430644357552063,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013396,0.22474624488777695,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013397,0.20549417145147297,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013404,0.21620146144855262,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013405,0.25914321368605625,True
expression,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013406,0.19796017695984736,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013395,0.10143892354865569,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013396,0.13790833251020385,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013397,0.10124132112739548,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013404,0.12381229978291476,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013405,0.1291532187896039,True
expression,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013406,0.08762305861373638,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013395,0.045678728201374086,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013396,0.03231249986543794,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013397,0.05041797299960207,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013404,0.040789988853316,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013405,0.03768666579156421,True
expression,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013406,0.049932546421533885,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013395,0.14635308942371295,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013396,0.12128097288704659,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013397,0.10582295497954741,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013404,0.12635079163970886,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013405,0.13143277177559992,True
expression,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013406,0.1156734538749982,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013395,0.05834171650555827,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013396,0.07878725537816561,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013397,0.03650987559530475,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013404,0.0616912382756593,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013405,0.06752443690725579,True
expression,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013406,0.04442317229611354,True
