study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Cerebrum|0f84cf73,6,6,0,0,model_std,0.4313194827520168,0.33,-0.16711539571033152,0.8361446860274162,within-condition sample splits,12,400,-0.5384615384615385
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Kidney|3ec2dbad,3,3,0,0,raw,1.0160004649459429,0.8888888888888888,0.25311893879785063,0.914348145907333,within-condition sample splits,6,9,0.8857142857142858
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Kidney|3ec2dbad,3,3,0,0,PCA8_descriptive,1.0160004649459433,0.8888888888888888,0.25311893879785113,0.9143481459073327,within-condition sample splits,6,9,0.8857142857142858
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Kidney|3ec2dbad,3,3,0,0,model_mean,1.1701414039231361,0.8888888888888888,0.49940128370484915,0.8841428073017926,within-condition sample splits,6,9,0.2
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Kidney|3ec2dbad,3,3,0,0,model_std,0.9918866748667435,0.7777777777777778,0.34262713398695654,0.8685200329276266,within-condition sample splits,6,9,0.6
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Kidney|0f84cf73,3,3,0,0,raw,0.9421230079053606,0.8888888888888888,0.16170324586690113,0.9074456202498176,within-condition sample splits,6,9,0.2571428571428572
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Kidney|0f84cf73,3,3,0,0,PCA8_descriptive,0.9421230079053603,0.8888888888888888,0.1617032458669015,0.9074456202498176,within-condition sample splits,6,9,0.2571428571428572
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Kidney|0f84cf73,3,3,0,0,model_mean,1.1758258498193677,0.8888888888888888,0.7690534625266873,0.9696337088048694,within-condition sample splits,6,9,-0.08571428571428573
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Kidney|0f84cf73,3,3,0,0,model_std,0.7930714745596171,0.3333333333333333,-0.05431666001339545,0.7600161669278334,within-condition sample splits,6,9,0.48571428571428577
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Liver|3ec2dbad,6,6,0,0,raw,0.7679493770337581,0.905,0.36275778896232125,0.9615297526661849,within-condition sample splits,12,400,0.8111888111888113
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Liver|3ec2dbad,6,6,0,0,PCA8_descriptive,0.806340613471998,0.905,0.40701308505326217,0.9615381013642863,within-condition sample splits,12,400,0.8111888111888113
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Liver|3ec2dbad,6,6,0,0,model_mean,0.30863010394546164,0.28,-0.36077897231731876,0.5299584785420808,within-condition sample splits,12,400,0.5104895104895105
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Liver|3ec2dbad,6,6,0,0,model_std,0.6134416981691508,0.695,0.14898125141959462,0.9318503315231962,within-condition sample splits,12,400,0.6783216783216784
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Liver|0f84cf73,6,6,0,0,raw,0.9164676021282645,0.99,0.49138229882041,0.9725175041413804,within-condition sample splits,12,400,0.5734265734265735
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Liver|0f84cf73,6,6,0,0,PCA8_descriptive,0.9772320108881373,0.99,0.5428771760558653,0.9726925426324391,within-condition sample splits,12,400,0.6153846153846154
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Liver|0f84cf73,6,6,0,0,model_mean,1.0119583297818382,0.945,0.8376267486582137,0.9891247371202468,within-condition sample splits,12,400,0.18181818181818185
OSD-457,mouse,actual_flight,liver,Liver,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Liver|0f84cf73,6,6,0,0,model_std,1.0036651098565899,0.99,0.6075159895293218,0.9761973416126759,within-condition sample splits,12,400,0.5314685314685316
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Mandible|3ec2dbad,3,3,0,0,raw,0.8388234131190825,0.6666666666666666,0.03940936950006501,0.8809037976760979,within-condition sample splits,6,9,-0.6
