id,source_nonzero,source_total,coverage
OSD-564:RR10_HPC_FLT_WT_F3,14358,57025114.0,1.0
OSD-564:RR10_HPC_FLT_WT_F7,14291,24396006.0,1.0
OSD-564:RR10_HPC_FLT_WT_F5,14004,27637846.0,1.0
OSD-576:RR23_R-TA_GC_G1,13480,41611904.0,1.0
OSD-576:RR23_R-TA_GC_G4,13367,45853850.0,1.0
OSD-576:RR23_R-TA_GC_G6,13317,35471486.0,1.0
OSD-576:RR23_R-TA_GC_G3,13315,48107126.0,1.0
OSD-576:RR23_R-TA_GC_G5,13320,43267562.0,1.0
OSD-576:RR23_R-TA_GC_G7,13409,39083119.0,1.0
OSD-576:RR23_R-TA_FLT_F6,13368,44805866.0,1.0
