contrast_a,contrast_b,study_a,study_b,species,setting,tissue,representation,response_cosine
OSD-105|Left tibialis anterior|f829a3c1,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-105,OSD-99,mouse,actual_flight,skeletal muscle,model_std,0.47197317411431616
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|2c17a152,OSD-245,OSD-379,mouse,actual_flight,liver,raw,0.44074138221135795
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|2c17a152,OSD-245,OSD-379,mouse,actual_flight,liver,model_mean,-0.23204875401670128
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|2c17a152,OSD-245,OSD-379,mouse,actual_flight,liver,model_std,0.11251899408861205
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a8ed2e02,OSD-245,OSD-379,mouse,actual_flight,liver,raw,0.3326697102493276
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a8ed2e02,OSD-245,OSD-379,mouse,actual_flight,liver,model_mean,-0.7277539503378381
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a8ed2e02,OSD-245,OSD-379,mouse,actual_flight,liver,model_std,0.02055981102777043
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a45ca5be,OSD-245,OSD-379,mouse,actual_flight,liver,raw,0.35622695234388
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a45ca5be,OSD-245,OSD-379,mouse,actual_flight,liver,model_mean,0.5092813194173764
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|a45ca5be,OSD-245,OSD-379,mouse,actual_flight,liver,model_std,0.09941513719635633
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|9abbe127,OSD-245,OSD-379,mouse,actual_flight,liver,raw,0.25644639524550733
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|9abbe127,OSD-245,OSD-379,mouse,actual_flight,liver,model_mean,0.7351020770344636
OSD-245|Liver|83b7ee50,OSD-379|Left Lobe of the Liver|9abbe127,OSD-245,OSD-379,mouse,actual_flight,liver,model_std,0.30962961795790794
OSD-245|Liver|83b7ee50,OSD-457|Liver|3ec2dbad,OSD-245,OSD-457,mouse,actual_flight,liver,raw,-0.10087078318816137
OSD-245|Liver|83b7ee50,OSD-457|Liver|3ec2dbad,OSD-245,OSD-457,mouse,actual_flight,liver,model_mean,-0.3442230810513653
OSD-245|Liver|83b7ee50,OSD-457|Liver|3ec2dbad,OSD-245,OSD-457,mouse,actual_flight,liver,model_std,0.2035260267194867
OSD-245|Liver|83b7ee50,OSD-457|Liver|0f84cf73,OSD-245,OSD-457,mouse,actual_flight,liver,raw,-0.12766305985159687
OSD-245|Liver|83b7ee50,OSD-457|Liver|0f84cf73,OSD-245,OSD-457,mouse,actual_flight,liver,model_mean,-0.7808196311842623
OSD-245|Liver|83b7ee50,OSD-457|Liver|0f84cf73,OSD-245,OSD-457,mouse,actual_flight,liver,model_std,0.026771359785563633
OSD-245|Liver|83b7ee50,OSD-463|Left Lobe of the Liver|52cb5fea,OSD-245,OSD-463,mouse,actual_flight,liver,raw,0.1659582499622401
OSD-245|Liver|83b7ee50,OSD-463|Left Lobe of the Liver|52cb5fea,OSD-245,OSD-463,mouse,actual_flight,liver,model_mean,0.4711051215344264
OSD-245|Liver|83b7ee50,OSD-463|Left Lobe of the Liver|52cb5fea,OSD-245,OSD-463,mouse,actual_flight,liver,model_std,0.44054119836834127
OSD-245|Liver|83b7ee50,OSD-48|Liver|b28df4aa,OSD-245,OSD-48,mouse,actual_flight,liver,raw,0.0179831334011716
