contrast,gene,log1p_expression_shift
GSE298393|YA,ATP6V1G1,0.2098697026570644
GSE298393|YA,ATP6V1H,0.00857464472452829
GSE298393|YA,BAX,0.07098960876464844
GSE298393|YA,BCKDHA,0.14439566930135106
GSE298393|YA,BDH2,0.40714573860168457
GSE298393|YA,CASP7,0.14610743522644043
GSE298393|YA,COX10,0.21074310938517238
GSE298393|YA,COX11,0.6032956441243491
GSE298393|YA,COX15,0.10682551066080759
GSE298393|YA,COX17,0.17506853739420514
GSE298393|YA,COX4I1,0.2539323170979815
GSE298393|YA,COX5A,0.1924878756205235
GSE298393|YA,COX6A1,0.04484049479166696
GSE298393|YA,COX6B1,0.22219117482503226
GSE298393|YA,COX6C,0.3014092445373535
GSE298393|YA,COX7A2,0.39790821075439453
GSE298393|YA,COX7A2L,0.3578612009684248
GSE298393|YA,COX7C,0.228209813435873
GSE298393|YA,COX8A,0.10245720545450876
GSE298393|YA,CPT1A,-0.38339177767435717
GSE298393|YA,CYB5A,0.53173557917277
GSE298393|YA,CYB5R3,-0.12629191080729107
GSE298393|YA,CYC1,0.20721673965454102
GSE298393|YA,DECR1,0.015066782633463838
GSE298393|YA,DLAT,0.17098633448282863
GSE298393|YA,DLD,0.36547025044759085
GSE298393|YA,DLST,0.16288359959920218
GSE298393|YA,ECH1,0.11487976710001657
GSE298393|YA,ECHS1,0.20769739151000977
GSE298393|YA,ECI1,0.2750085194905596
GSE298393|YA,ETFA,0.5026882489522304
