training_study,gene,train_weight_times_effect,test_weight_times_effect,train_effect_log1pTPM,test_effect_log1pTPM
GSE234465,ABHD15,0.002212410743328214,0.0009571716687258734,-0.3029552102088928,-0.13106975952784228
GSE234465,ABHD16A,0.0020894389651313363,-0.0009263469084320159,-0.11399968465169241,0.050541440645853974
GSE234465,ABHD16B,0.0012020368502281937,-0.0001293322348452082,0.09832441558440526,-0.010579140235980333
GSE234465,ABHD17A,0.0010403815953567458,-0.0007217000192548972,-0.18159071604410748,0.12596726417541504
GSE234465,ABHD17B,0.002565157418318634,0.0012683143543356277,-0.3966811100641885,-0.19613468647003174
GSE234465,ABHD17C,0.0036001605892828563,0.0011016993477199004,-0.7918919324874878,-0.24232997496922826
GSE234465,ABHD18,0.0033674570502410114,-0.002213930508699728,-0.31738789876302076,0.2086662848790488
GSE234465,ABHD2,0.0007386188411156627,-0.0004642236720677921,-0.20392425855000829,0.12816687424977635
GSE234465,ABHD3,0.0008235722086207622,-0.0006172074602597478,-0.0864722728729248,0.06480467816193902
GSE234465,ABHD4,4.799470439875e-05,-0.000312849828452906,0.03296109040578177,-0.21485435962677
GSE234465,ABHD5,0.0025943145325245816,0.001419305528615103,-0.17740007241566946,-0.09705257415771484
GSE234465,ABHD6,5.4596287824197714e-05,6.509672914106095e-05,0.046227733294169064,0.055118660132090214
GSE234465,ABHD8,0.0033541951530538547,2.4117181742382943e-05,-0.39148660500844334,-0.0028148492177328954
GSE234465,ABI1,0.0013144726436306732,-0.001167594421976233,-0.2209600210189819,0.19627010822296145
GSE234465,ABI2,0.002712670198090067,0.0001419236349526531,-0.43112361431121826,-0.022555867830912124
GSE234465,ABI3,9.420909735105688e-05,0.00010139021318598627,-0.036694853256146104,-0.0394919291138649
GSE234465,ABI3BP,0.0023467535084538823,-0.0018473862676914499,-0.5079300403594971,0.39984726905822754
GSE234465,ABITRAM,0.0009613078051760416,-0.0008235300434634205,-0.19980438550313329,0.17116777102152492
GSE234465,ABL1,0.0008600918018291082,-0.0008607794856507744,-0.16827972730000784,0.16841427485148142
GSE234465,ABL2,0.002489908329115592,-0.0008939094662260409,-0.6329005360603333,0.2272195219993591
GSE234465,ABLIM1,0.0031944471047837897,-0.0044139267647068875,-0.42747131983439113,0.59065842628479
GSE234465,ABLIM2,0.0012844471262851889,0.002509791602702661,-0.2784714698791504,-0.5441293319066363
GSE234465,ABLIM3,0.002963620195071259,-0.0013549422931601694,-0.602331717809041,0.27538100878397564
GSE234465,ABO,0.0,-0.0,0.0,-0.020227490613857906
GSE234465,ABR,1.0753719329882055e-05,-0.0005301639375504894,0.0016327301661176463,-0.08049444357554103
GSE234465,ABRA,0.0028177497288463986,-0.0002115233850169569,-0.5032689323027929,0.037779490152994866
GSE234465,ABRACL,0.00017174522433314587,0.00025195705374230274,-0.1834990382194519,-0.26920036474863673
GSE234465,ABRAXAS1,8.406840886224068e-05,-0.00026563143420270206,-0.08643333117167185,0.27310389280319214
GSE234465,ABRAXAS2,0.0023096039380875897,-0.0026218353247613813,-0.11116230487823486,0.12619014581044485
GSE234465,ABT1,0.0012789335013924704,0.0009299303509707372,0.18338642517725612,0.13334282239278172
GSE234465,ABTB1,0.0008258193129283282,0.0011483315701136814,-0.1130141019821167,-0.15715018908182765
GSE234465,ABTB2,0.0016651603363541682,-0.0031439416425416917,-0.16082612673441554,0.30365121364593506
GSE234465,ACAA2,0.0033624916944454504,-0.0011827389387797133,-0.2958953380584717,0.104079643885294
GSE234465,ACACA,0.0011476958517107135,0.0007425048849105992,0.22348829110463475,0.1445863445599873
GSE234465,ACACB,0.0007182913771971906,0.0008234738188669664,0.2810304562250776,0.32218293348948146
GSE234465,ACAD11,0.001374866970565413,-0.0007533148260801967,-0.3317524393399558,0.18177324533462524
GSE234465,ACAD8,-1.7913228221648765e-06,3.984014380458112e-05,-0.0134049654006958,0.29813484350840236
