training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,4,-0.10771916655608038,0.10771916655608038,-0.11239117553398802,-0.10771916655608038,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,5,0.12848027756126612,0.12848027756126612,0.13522791738511888,0.12848027756126612,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,6,0.032378936764644095,0.032378936764644095,-0.020273041069402784,0.032378936764644095,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,7,0.27116505451340345,0.27116505451340345,0.2865300281257596,0.27116505451340345,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,8,0.16620296378732746,0.16620296378732746,0.17988072623012802,0.16620296378732746,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,9,0.02781780770988007,0.02781780770988007,0.033890370008294764,0.02781780770988007,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,10,0.1839272869585784,0.1839272869585784,0.17233195594187942,0.1839272869585784,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,11,0.04410397145625211,0.04410397145625211,0.02922901203921799,0.04410397145625211,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,12,0.21457923282264346,0.21457923282264346,0.21902675839659788,0.21457923282264346,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,13,0.06285050378733104,0.06285050378733104,0.06775500044497348,0.06285050378733104,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,14,-0.10268802515179232,0.10268802515179232,-0.13069181472471733,-0.10268802515179232,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,15,-0.044383589253811806,0.044383589253811806,-0.051347017870274674,-0.044383589253811806,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,16,0.10573661591547534,0.10573661591547534,0.09313497844586835,0.10573661591547534,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,17,0.14452494615738942,0.14452494615738942,0.1326297849855115,0.14452494615738942,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,18,0.005072877350812632,0.005072877350812632,-0.013269211045742269,0.005072877350812632,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,19,-0.1191928305829606,0.1191928305829606,-0.13819398132916993,-0.1191928305829606,False
