model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,YA,training_ground_mean_TPM,Inflammatory Response,177,0.06263600443857627,0.0039304269782580665,0.00808726290238567,0.5028248587570622
bridge,YA,training_ground_mean_TPM,Xenobiotic Metabolism,179,0.20517434356601288,0.00523999149830385,0.010903656875510079,0.5195530726256983
bridge,YA,training_ground_mean_TPM,Fatty Acid Metabolism,137,-0.11473337725670864,0.005248191906840109,0.008358316981610958,0.44525547445255476
bridge,YA,training_ground_mean_TPM,Oxidative Phosphorylation,173,-0.022743607244554098,0.007163075211923935,0.014405693733015213,0.5144508670520231
bridge,YA,training_ground_mean_TPM,Glycolysis,183,0.35097970165091036,0.006468567579653783,0.013760929582448027,0.5136612021857924
bridge,YA,training_ground_mean_TPM,Reactive Oxygen Species Pathway,43,0.060067021254919896,0.005539099510680233,0.00276882932487129,0.4186046511627907
bridge,YA,training_ground_mean_TPM,p53 Pathway,186,0.4811128647697931,0.006715558042313754,0.01452056831096433,0.5645161290322581
bridge,YA,training_ground_mean_TPM,UV Response Up,136,0.4166813767016463,0.008323918717903627,0.013159982207153594,0.5955882352941176
bridge,YA,training_ground_mean_TPM,UV Response Dn,140,0.6109315808533505,0.00989550981931409,0.016104779119831165,0.5928571428571429
bridge,YA,training_ground_mean_TPM,Angiogenesis,34,0.07640839457403495,0.008751642038384471,0.00345905148199005,0.47058823529411764
bridge,YA,training_ground_mean_TPM,heme Metabolism,177,0.09284382272933021,0.007653898056689543,0.01574869248428075,0.519774011299435
bridge,YA,training_ground_mean_TPM,Coagulation,123,-0.04450532613081035,0.005140207790804877,0.007349780175436585,0.5121951219512195
bridge,YA,training_ground_mean_TPM,IL-2/STAT5 Signaling,180,-0.2616040024549598,0.0051261454510461045,0.010726350718568702,0.3888888888888889
bridge,YA,training_ground_mean_TPM,Bile Acid Metabolism,106,0.02903707312549376,0.005527341800354332,0.006810997950896008,0.46226415094339623
bridge,YA,training_ground_mean_TPM,Pperoxisome,93,-0.38787240785747545,0.008523305992178744,0.009214665863571489,0.4946236559139785
bridge,YA,training_ground_mean_TPM,Allograft Rejection,161,0.13253348346821636,0.004875278549128687,0.009124600799479817,0.4720496894409938
bridge,YA,training_ground_mean_TPM,Spermatogenesis,127,0.034296981616231924,0.004593947264229866,0.0067823202000883934,0.4330708661417323
bridge,YA,training_ground_mean_TPM,KRAS Signaling Up,189,-0.10175088774390795,0.0067685837413490905,0.014871273934695112,0.5079365079365079
bridge,YA,training_ground_mean_TPM,KRAS Signaling Dn,176,0.5433270913153604,0.006013137203163097,0.012302754113926895,0.4431818181818182
bridge,YA,training_ground_mean_TPM,Pancreas Beta Cells,39,-0.040536010598615134,0.002751028325087193,0.001247234834744886,0.3076923076923077
expression,OS,training_all_mean_TPM,TNF-alpha Signaling via NF-kB,183,0.12448567243010228,0.0012753150340635015,0.015701999097249026,0.6174863387978142
expression,OS,training_all_mean_TPM,Hypoxia,184,0.09565293190348736,0.0011450549464219258,0.014175243539981935,0.6358695652173914
expression,OS,training_all_mean_TPM,Cholesterol Homeostasis,70,0.05274457839827339,0.0010580215459727782,0.0049828628179278,0.7428571428571429
expression,OS,training_all_mean_TPM,Mitotic Spindle,196,0.07163469836288236,0.0009898027619556769,0.013052422151072737,0.5714285714285714
expression,OS,training_all_mean_TPM,Wnt-beta Catenin Signaling,40,0.01765795564435301,0.000879190123469218,0.0023660786184496276,0.625
